brand,title,views,likes,comments,engagement_rate_%
Atomberg smart fan,Atomberg Renesa smart fan #shorts #youtubeshorts #smartgadgets #homeimprovement #amazonfinds,1750307,6160,35,0.3539
Atomberg smart fan,Atomberg Renesa BLDC smart ceiling fan app control kaise kare. #shorts #youtubeshorts,3102609,15916,108,0.5165
Atomberg smart fan,Atomberg BLDC Ceiling Fan 💸 This Fan Saves ₹1500/year!  Atomberg Renesa Halo #Shorts,514725,4101,31,0.8028
Atomberg smart fan,Ok Google - Atomberg Renesa Smart+ BLDC Ceiling fan | Alexa + Remote 🫶,95997,2455,95,2.6563
Atomberg smart fan,Best Smart fan For Home #shorts #youtubeshorts | Atomberg Aris Contour Smart 1200mm BLDC Ceiling Fan,493223,4179,41,0.8556
Atomberg smart fan,Best selling Smart BLDC Ceiling with Alexa | Atomberg Renesa Smart+ #smartfan #atombergfan #bldcfans,784397,0,129,0.0164
Atomberg smart fan,Atomberg bldc fan installation / bldc ceiling fan installation / atomberg ceiling fan fitting #home,2649652,28248,179,1.0729
Atomberg smart fan,New atomberg smart fan !!! #smartfan #atombergfan #atomberg,2485,18,0,0.7243
Atomberg smart fan,Atomberg Renesa 1200mm BLDC Motor 5 Star | Ceiling fan Installation #electricalelectricianwireman,1771473,26928,250,1.5342
Atomberg smart fan,The All New BLDC Atomberg Smart Studio Plus Fan with Alexa Voice Control 🔥,28670,191,24,0.7499
Atomberg smart fan,Atomberg Renesa Halo Smart BLDC Ceiling Fan⚡️LED Speed Indicator⚡️Work with Voice Assistant #shorts,14559,111,7,0.8105
Atomberg smart fan,Atomberg Smart Fan Remote Control Review | How To Set Timer + Sleep Mode!,82187,571,78,0.7897
Atomberg smart fan,#atomberg Studio Smart+ 1200mm BLDC Ceiling Fan with IoT & Remote #shorts #shortsfeed #ceilingfan,234331,1707,21,0.7374
Atomberg smart fan,Atomberg Renesa Plus 🔥 | Smart Ceiling Fan | Built in Alexa and Remote control,28544,787,71,3.0059
Atomberg smart fan,Atomberg BLDC Ceiling Fan | Sabse smart fan india ka | smart ceiling fan review #Shorts #DIY Part-1,16488,149,2,0.9158
Crompton smart fan,"blossom smart Crompton fan. iot enabled ,with colour changing underlight,2×silent fan",35834,343,12,0.9907
Crompton smart fan,This Fan Runs on Just 35W! 😱  Crompton Energion Hyperjet Smart Fan ⚡️ Full Review,30375,3384,40,11.2724
