video_id,title,views,likes,comments,engagement_score,engagement_rate_%,brand_mentioned
8qrjRwGOrLg,AMAZON Playbook That Made Atomberg a ₹3000 Crore Giant | Ft. Arindam Paul,49418,1266,66,1332,2.6954,yes
_B_G_H5YpxM,Atomberg bldc fan installation / bldc ceiling fan installation / atomberg ceiling fan fitting #home,2649432,28245,179,28424,1.0728,yes
u_kxhHjHln0,Atomberg Renesa 1400mm,3622337,32622,399,33021,0.9116,yes
vjCfrnb16ug,Atomberg mixer grinder - BLDC motor with 4 jars,172051,1024,32,1056,0.6138,yes
bRW2z6D96OU,Atomberg BLDC Ceiling Fan 💸 This Fan Saves ₹1500/year!  Atomberg Renesa Halo #Shorts,514617,4101,31,4132,0.8029,yes
JADwg_B5Als,Atomberg Renesa Halo Smart BLDC Ceiling Fan⚡️LED Speed Indicator⚡️Work with Voice Assistant #shorts,14522,111,7,118,0.8126,yes
X2Y8LZcbmEY,Ok Google - Atomberg Renesa Smart+ BLDC Ceiling fan | Alexa + Remote 🫶,95971,2455,95,2550,2.6571,yes
bQbKhXIE9V0,Atomberg BLDC Ceiling fan Sleep Mode Use #atombergfan #renesa  #bldcfan Atomberg Fan remote function,499500,1512,23,1535,0.3073,yes
nusaiUSPyGM,atomberg bldc ceiling fan installation / atomberg bldc fan fitting  #atomberg #bldcfan #ceilingfan,592872,5142,13,5155,0.8695,yes
vIM7Jx036S4,"Atomberg Studio Stainless Steel 150mm BLDC Exhaust Fan | High Speed, Silent & Only Consume 7.5W 🤑",2375216,13361,107,13468,0.567,yes
eUqNCj2T55I,Atomberg renesa smart plus 1200 mm ceiling fan pearl white unboxing #atomberg #atombergfan #renesa,609169,2944,38,2982,0.4895,yes
4zy-Z_6j6KE,Atomberg TVC I Power Department comes knocking,26058381,6532,45,6577,0.0252,yes
hdDels9Z5ww,Atomberg Renesa 1200mm BLDC Motor 5 Star | Ceiling fan Installation #electricalelectricianwireman,1771328,26927,250,27177,1.5343,yes
nVPNjae59-s,Atomberg Rensa Plus BLDC Fan #gadgetshorts  #shorts,2901817,24571,201,24772,0.8537,yes
