position,page,title,snippet,link
1,1,Buy Premium BLDC Ceiling Fans At Best Prices Online In ...,"Our wide range of stylish, energy-efficient BLDC fans offers powerful air delivery, low-noise operation, and modern convenience. From smart fans with remote, ...",https://atomberg.com/atomberg-ceiling-fans?srsltid=AfmBOopkKvmwWzDsiFKijjMenESesFjocJ_ITOVaDTtALGf8adELN-al
2,1,Buy Energy Efficient BLDC Ceiling Fans | 5 Star Rated and ...,Kühl Fest Fan comes with revolutionary and super energy-efficient BLDC motor technology that saves electricity up to 65%. This Fan runs on just 28 W power at ...,https://shop.kuhl.in/?srsltid=AfmBOoo5gf5QOuLs1QxkS7KMlkOP5dZ11DVK5bbSwQd6ez7-KsoFYFUA
3,1,Buy BLDC Fans (बीएलडीसी फैन) Online at Best Price in India,Experience energy efficiency and superior performance with BLDC ceiling fan! Explore a wide range of fans equipped with advanced BLDC technology that ...,https://orientelectric.com/collections/bldc-fans?srsltid=AfmBOoovHAdha9O1RulQUCCPkvVKdg3POxApMm1_hcATaw_IwVJIoXAe
4,1,Crompton: BLDC Fans,Crompton Energion Cromair 1200mm BLDC Ceiling Fan with Remote Control | BEE 5 Star Rated Energy Efficient | Anti-Rust | Superior Air Delivery | 28 Watt | 5 ...,https://www.amazon.in/stores/Crompton/page/F624728E-F41E-472E-B1F2-9CA9AEB563B2
5,1,Superfan: India's First BLDC Ceiling Fan | 5 Years Warranty,"We've been using the Superfan v1 Model from 2021, and it has been very comfortable and noiseless. It's super energy-efficient, and our electricity bill has been ...",https://superfan.in/?srsltid=AfmBOoo-edM1kVO8jlos05xYxEEIhGGlGN-Bm0cAVLlau6WSLO55RZRc
6,1,High-Quality Ceiling Fans - Shop Now at Havells,Explore our range of efficient ceiling fans at Havells. Find stylish designs and superior performance to keep your space cool and ...,https://havells.com/fans/ceiling-fans.html
7,1,Revolutionizing Home Efficiency: The Push for BLDC Fans ...,"A top-rated BLDC fan is approximately 50% more efficient than a conventional fan, that means India can cut its overall residential electricity ...",https://www.power.com/community/green-room/blog/revolutionizing-home-efficiency-bldc-fans-india
8,1,Explore EcoLink Ceiling Fans | energy-efficient BLDC Fans ...,"Powered by cutting-edge BLDC inverter technology, EcoLink fans save up to 55% on energy expenditures, while offering modern features like superior air delivery ...",https://fans.ecolinklighting.in/
9,1,BLDC Fans Energy Efficient BLDC Ceiling & Industrial ...,"Explore Airzon's range of BLDC ceiling fans & air circulator fans designed to save energy, reduce noise & deliver powerful cooling.",https://www.airzon.in/
1,2,Save Energy With ActivBLDC Motor Technology,"Alongside, it brings you a great deal as it reduces your energy consumption by up to 50%. BLDC Fans vs Normal Fans. Calculate your savings on BLDC fans here. As ...",https://www.crompton.co.in/blogs/fans-guide/save-energy-with-activbldc-motor-technology
