brand_query,video_title,views,likes,comments,engagement_rate_%
Atomberg bldc fan,Atomberg bldc fan installation / bldc ceiling fan installation / atomberg ceiling fan fitting #home,2649679,28248,179,1.0728
Atomberg bldc fan,Best BLDC Ceiling Fan In 2025⚡Top 3 BLDC Fan 2025 in India Atomberg Renesa Enzel BLDC Fan,590018,3023,117,0.5322
Atomberg bldc fan,Atomberg BLDC Ceiling Fan 💸 This Fan Saves ₹1500/year!  Atomberg Renesa Halo #Shorts,514730,4101,31,0.8028
Atomberg bldc fan,Atomberg Renesa 1400mm,3622590,32622,399,0.9115
Atomberg bldc fan,atomberg fan review atomberg bldc fan review,265518,2560,85,0.9962
Atomberg bldc fan,Atomberg Renesa 1200mm BLDC Motor 5 Star | Ceiling fan Installation #electricalelectricianwireman,1771473,26928,250,1.5342
Atomberg bldc fan,Atomberg Rensa Plus BLDC Fan #gadgetshorts  #shorts,2902285,24573,201,0.8536
Atomberg bldc fan,Atomberg Renesa Prime RPM350🌪️ #atomberg #shorts #fan #bldcfan,34298,137,4,0.4111
Atomberg bldc fan,Atomberg BLDC fan || how to install a BLDC fan || best BLDC celin fan #bldcfan,204221,1696,15,0.8378
Atomberg bldc fan,Ok Google - Atomberg Renesa Smart+ BLDC Ceiling fan | Alexa + Remote 🫶,95997,2455,95,2.6563
Atomberg bldc fan,Atomberg BLDC Fan review After 3.8 year's used | Service charge after warranty 🔥,20291,191,122,1.5426
Atomberg bldc fan,atomberg bldc pedestal fan installation,46855,567,12,1.2357
Atomberg bldc fan,Atomberg Renesa Prime ! Smart BLDC fan with Remote control & Led Light #atombergfan #bldcfan #review,373003,3498,31,0.9461
Atomberg bldc fan,BLDC Vs Normal Pedestal Fan Of Atomberg & Luminous | Quick Comparison 🧐,1378629,9472,190,0.7008
Atomberg bldc fan,Atomberg Renesa smart fan #shorts #youtubeshorts #smartgadgets #homeimprovement #amazonfinds,1750332,6160,35,0.3539
Crompton bldc fan,How to pair Crompton BLDC fan with Remote | Remote pairing#bldcfan #remote #pair #electronic #dc #ac,344811,1455,81,0.4455
Crompton bldc fan,Crompton bldc fan / Crompton ceiling fan / Crompton bldc fan unboxing #viral #shorts #subscribe,37812,162,2,0.4337
Crompton bldc fan,Crompton Energion Hyperjet BLDC Ceiling Fan | Best Ceiling Fan,84619,0,10,0.0118
Crompton bldc fan,how to pair fan remote Malayalam #shorts,123678,835,31,0.7002
Crompton bldc fan,Crompton BLDC Remote Fan Unboxing,296379,4896,65,1.6739
Crompton bldc fan,Crompton Hyperjet BLDC Fan installation |  Remote |1200 mm | with 2 Years Warranty 🔥 ,1038,12,4,1.5414
Crompton bldc fan,Crompton Energion Nucleoid BLDC Ceiling Fan || metallic grey colour #bldcceilingfan #bldcfan,28169,163,0,0.5787
Crompton bldc fan,Crompton Energion Niteo BLDC Fan | Unboxing and Review,18813,693,16,3.7687
Crompton bldc fan,Crompton bldc fan #ceilingfans #ceilingfan #viralshortvideo #crompton,32962,131,5,0.4126
Crompton bldc fan,Niteo | Crompton bldc ceiling fan | Smart Ceiling fan #crompton #youtubeshorts #shorts #ceilingfan,5281,33,3,0.6817
Crompton bldc fan,BLDC Celling Fan Mein Regulator use karna chahie ya nahin  #shorts #bldcfan,226854,2114,12,0.9372
Crompton bldc fan,Crompton Energion Niteo 1200 mm BLDC Ceiling Fan Unboxing and Review | Best Ceiling Fan,15054,57,9,0.4384
Crompton bldc fan,Crompton BLDC Fan Testing and Review | Crompton Energion Cromair With RF Remote (5 Years Warranty),56627,545,17,0.9925
Crompton bldc fan,Crompton Energion Hyperjet BLDC Ceiling Fan #installation  #unboxing #crompton #bldcfan Part-2,98010,783,12,0.8111
Crompton bldc fan,BLDC ceiling fan 🔌 connection #ceilingfan #bldcfan #wiring #diy,745473,0,0,0.0
Bajaj bldc fan,Bajaj Fans | Armor Series Eurostos BLDC Fan,8467,83,1,0.9921
Bajaj bldc fan,Bajaj BLDC Ceiling Fan Unboxing & Installation | Energy Efficient Fan 35watts hi speed,13539,54,7,0.4506
Bajaj bldc fan,BAJAJ BLDC FAN WITH REMOTE #bajaj #bldcfan #home #office #hall #trending #bedroom,138307,567,13,0.4194
Bajaj bldc fan,Bajaj Fans | Classico Sleek Wood Fan,6954,72,3,1.0785
Bajaj bldc fan,Bajaj bldc ceiling fan remote control #bajaj #bajajfans #youtubeshorts #shorts #bldcfan,14568,53,0,0.3638
Bajaj bldc fan,Bajaj fan safety wire connection #bajaj #crompton #shorts,20571,152,0,0.7389
Bajaj bldc fan,BAJAJ Crest Turbo 1200mm Brown CF 1200 mm 3 Blade Ceiling Fan 💥 #bajaj #ceilingfan #affiliate,35106,155,0,0.4415
Bajaj bldc fan,Best BLDC Ceiling Fan in India 2025 | Best BLDC Fan Under 4000,72018,345,53,0.5526
Bajaj bldc fan,#bajaj #ceilingfan #bldcfan #youtubeshorts #shorts #ytshorts bajaj nex series work with remote,958,5,0,0.5219
Bajaj bldc fan,bajaj bldc fan installation / bajaj bldc ceiling fan fitting / bajaj bldc ceiling fan unboxing#bajaj,13433,98,8,0.7891
Bajaj bldc fan,👉Bajaj Energos 12DC5R Fan🔥बीएलडीसी सीलिंग फैन🔥26W BLDC Ceiling Fan🔥Best Bajaj Ceiling Fan under 3000,15612,121,28,0.9544
Bajaj bldc fan,Best ceiling Fan | BLDC Fan,85697,353,4,0.4166
Bajaj bldc fan,Bajaj BLDC selling fan  Technologya⚡💡🧲🌪️ #services #bldcfan #5starrating,36761,413,0,1.1235
Bajaj bldc fan,Bajaj BLDC siling fan fitting,13799,101,1,0.7392
Bajaj bldc fan,BLDC வாங்குறது worth-ஆ?,2133539,91401,601,4.3122
Orient bldc fan,Orient 1200 Mm 3 Balde Ceiling Fan ✅ Best 5 Star BLDC Fan 💥Must Buy #ceilingfan #orient #bldcfan,134808,539,8,0.4058
Orient bldc fan,Orient BLDC remote celling fan amazing speed #orient #remote #fans #amazing #speed,418081,2138,161,0.5499
Orient bldc fan,Orient bldc fan 2025 model 5 star rating unboxing #music #orientelectric #orient,64602,294,3,0.4597
Orient bldc fan,Orient bldc celing fan only 28 what | new design ceiling fan |remote wala pankha #bldc #bldcfan #new,224256,1092,5,0.4892
Orient bldc fan,Orient bldc fans Ecotech prime Re 1200 mm,131439,599,31,0.4793
Orient bldc fan,Orient bldc fan repair #orient #electrical  #fanrepair #havells #vguar,5062,40,5,0.889
Orient bldc fan,Orient BLDC Fan vs Polycab BLDC Fan,12937,268,12,2.1643
Orient bldc fan,Orient bldc fan install || bldc fan install kaise karta hai #orientelectric #electric_advance,5232,63,3,1.2615
